"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"LCP1" 1.3649354508232e-37 0.614537384243189 0.343 0.201 2.66176062265032e-33 "1" "LCP1"
"HEXA" 1.61454110151012e-37 0.577819042523196 0.373 0.217 3.14851660205489e-33 "1" "HEXA"
"WNK1" 2.52333568019422e-37 0.631731922862655 0.387 0.268 4.92075690994674e-33 "1" "WNK1"
"CSF3R" 3.02751183218614e-37 0.677322944966582 0.22 0.077 5.90395082394619e-33 "1" "CSF3R"
"ZFP36L1" 5.01555351872196e-37 0.652884882219525 0.448 0.357 9.7808309168597e-33 "1" "ZFP36L1"
"CTSZ" 2.01326235713868e-36 0.447928840301908 0.474 0.319 3.92606292265614e-32 "1" "CTSZ"
"KCTD12" 2.5295351040562e-36 0.5600113646894 0.26 0.137 4.93284640641999e-32 "1" "KCTD12"
"POU2F2" 2.67358853461244e-36 0.66484862078639 0.244 0.106 5.21376500134773e-32 "1" "POU2F2"
"IL10RA" 4.79948769826299e-36 0.721069701597255 0.166 0.049 9.35948096038266e-32 "1" "IL10RA"
"EPB4.1L2" 7.28339005075594e-36 1.07617695422137 0.257 0.105 1.42033389379791e-31 "1" "EPB4.1L2"
"HSPA5" 7.36571021733238e-36 0.375276000647609 0.731 0.706 1.43638714948199e-31 "1" "HSPA5"
"COL27A1" 1.28515464229706e-35 0.791421946666461 0.159 0.044 2.5061800679435e-31 "1" "COL27A1"
"CCL4" 1.36109281683577e-35 0.458728835417988 0.329 0.179 2.65426710211144e-31 "1" "CCL4"
"DUSP6" 1.38589714441441e-35 0.832625713197102 0.308 0.193 2.70263802132254e-31 "1" "DUSP6"
"ABHD12" 1.57484995953718e-35 0.563413898714742 0.36 0.212 3.07111490609345e-31 "1" "ABHD12"
"AIM2" 2.3293719626055e-35 0.767546738415677 0.268 0.122 4.54250826427698e-31 "1" "AIM2"
"ARRB2" 1.95503313617157e-34 0.702610022518018 0.239 0.105 3.81251011884818e-30 "1" "ARRB2"
"HAVCR2" 2.91484812080769e-34 0.72246313691716 0.255 0.115 5.68424532038707e-30 "1" "HAVCR2"
"CTSA" 7.4649004950872e-34 0.533645698192813 0.41 0.265 1.45573024554695e-29 "1" "CTSA"
"SLFN8" 2.87411029375864e-33 0.919655302225561 0.206 0.083 5.60480248385872e-29 "1" "SLFN8"
"SPI1" 3.35327179026376e-33 0.693060797792088 0.222 0.095 6.53921531819336e-29 "1" "SPI1"
"CALR" 3.43010282790852e-33 0.352800096549647 0.726 0.672 6.6890435247044e-29 "1" "CALR"
"PLEKHO1" 4.74897547078969e-33 0.669087772938971 0.248 0.118 9.26097706558697e-29 "1" "PLEKHO1"
"JMJD1C" 4.95410904179464e-33 0.687220668516713 0.389 0.268 9.66100804240373e-29 "1" "JMJD1C"
"ASPH" 1.1839392298045e-32 0.807401102504188 0.346 0.203 2.30879989204176e-28 "1" "ASPH"
"FRMD4A" 1.32315102541684e-32 0.709608607660944 0.326 0.196 2.58027681466537e-28 "1" "FRMD4A"
"MED12L" 4.54926964109372e-32 0.812980715376646 0.191 0.069 8.87153072709687e-28 "1" "MED12L"
"SLC16A6" 5.92028040993181e-32 0.814789427503393 0.187 0.074 1.1545138827408e-27 "1" "SLC16A6"
"SNORD49B" 1.92982160408291e-31 0.968844285676242 0.23 0.118 3.76334511012209e-27 "1" "SNORD49B"
"PPP1R9A" 1.94515574331561e-31 0.724527852493736 0.343 0.203 3.79324821503978e-27 "1" "PPP1R9A"
"COMMD8" 3.03850920511782e-31 0.658988205519185 0.279 0.168 5.92539680090027e-27 "1" "COMMD8"
"PRKCD" 3.73244281875265e-31 0.667687014423038 0.23 0.105 7.27863674084954e-27 "1" "PRKCD"
"JUNB" 3.87924525116749e-31 0.539934011267325 0.379 0.257 7.56491616430171e-27 "1" "JUNB"
"CELF2" 5.61878642094445e-31 0.569084375578391 0.368 0.248 1.09571953994838e-26 "1" "CELF2"
"MLXIPL" 1.87998688175129e-30 0.626050829672899 0.179 0.067 3.66616241810319e-26 "1" "MLXIPL"
"CMTM6" 2.12196027123089e-30 0.714310723055112 0.199 0.091 4.13803472492737e-26 "1" "CMTM6"
"FAM49B" 3.63507717859135e-30 0.624465806352798 0.313 0.198 7.08876400597099e-26 "1" "FAM49B"
"MYLIP" 4.02223793493322e-30 0.681884030152619 0.214 0.09 7.84376619691326e-26 "1" "MYLIP"
"SKIL" 4.7357160885587e-30 0.595501359434151 0.311 0.182 9.23511994429833e-26 "1" "SKIL"
"PLCL2" 8.88507079873986e-30 0.717686485178527 0.141 0.041 1.73267765646226e-25 "1" "PLCL2"
"IGHM" 1.18670943046904e-29 0.511611185566069 0.197 0.079 2.31420206035767e-25 "1" "IGHM"
